name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,night_range
Ideo Mobi Sathorn at BTS Krung Thon Buri Station.,Jm,Khlong San,13.71978,100.50195,Entire home/apt,1100,1,47,2022-11-04,0.96,1,0,12,Week 1
Chao Hostel,Chao,Parthum Wan,13.74793,100.52769,Private room,1750,1,44,2019-04-28,0.49,1,176,0,Week 1
A panoramic view on 29th floor.,Neung,Chatu Chak,13.81143,100.55916,Private room,1500,30,7,2016-02-03,0.08,2,346,0,Week 4
Mix Dormitory,Somsak,Khlong San,13.72183,100.50925,Shared room,330,2,0,,0.0,10,362,0,Week 1
Here Hostel Bangkok/ 4-BED Mixed Dormitory Room,Here Hostel,Phra Nakhon,13.75466,100.50284,Shared room,802,1,3,2016-01-26,0.03,6,354,0,Week 1
"5 MINS TO BTS, PRIME LOCATION, WIFI",Si-On,Vadhana,13.73086,100.58744,Private room,1499,1,8,2016-02-15,0.09,1,365,0,Week 1
City room 1 BR/ BTS Pleonchit,Nicha,Parthum Wan,13.73609,100.54967,Entire home/apt,1212,4,24,2022-12-02,0.28,1,306,12,Week 1
Comfortable Condo( Rama 9 MRT) 2 bedroom (2),Joyce,Huai Khwang,13.75988,100.56852,Entire home/apt,3740,2,30,2020-01-27,0.33,5,0,0,Week 1
"1BR-FREE Wifi,Pool,Gym@BTS Ari",Paranee,Phaya Thai,13.77595,100.54304,Private room,1150,2,102,2022-12-05,1.1,1,147,25,Week 1
Sofa in apartment near skytrain-BTS,Amornsak,Phasi Charoen,13.70915,100.44846,Shared room,600,1,0,,0.0,3,365,0,Week 1
Private room near BTS skytrain.,Amornsak,Phasi Charoen,13.71094,100.44857,Private room,1400,1,0,,0.0,3,365,0,Week 1
Brand new room. Clean and cozy.,Art,Bang Na,13.66994,100.62562,Private room,831,1,0,,0.0,1,362,0,Week 1
PERFECT CONDO in CBD serve up to 6 (完美的公寓),Ben,Khlong San,13.72185,100.50266,Entire home/apt,3082,30,47,2020-01-08,0.59,1,256,0,Week 4
Location Location Location,Nana,Vadhana,13.74232,100.56269,Private room,2000,7,0,,0.0,1,363,0,Week 1
อพาร์ทเมนต์ใกล้ BTS,Neung,Phra Khanong,13.69389,100.59561,Private room,900,1,0,,0.0,1,365,0,Week 1
Abstract Condominium,Nanthanaporn,Phra Khanong,13.68192,100.60593,Shared room,1745,1,0,,0.0,1,337,0,Week 1
Here Hostel Bangkok/ 10-Bed Mixed Dormitory Room,Here Hostel,Phra Nakhon,13.75628,100.5026,Shared room,736,1,2,2015-12-16,0.02,6,356,0,Week 1
10 minutes to BTS Asoke station,Nitsumon D.,Vadhana,13.74008,100.55799,Private room,1500,30,1,2015-08-10,0.01,1,134,0,Week 4
Onnut BTS Station 2 Br 2 beds wifi,Anat,Phra Khanong,13.704064237988543,100.60085539938328,Entire home/apt,2281,2,23,2022-12-18,0.27,1,199,6,Week 1
40 m2-1BR-condo#BTS#Long term rent,Peerakit,Bang Na,13.68249,100.609,Entire home/apt,1300,2,7,2017-02-19,0.07,1,27,0,Week 1
"❤️CozyRoom@BTS Onnut Wifi, Kitchen,washing machine",Bird,Phra Khanong,13.70524,100.60289,Entire home/apt,999,1,18,2020-03-14,0.2,12,31,0,Week 1
"MRT Samyan, private&cozy 1bedroom",Mint,Bang Rak,13.72909,100.52268,Entire home/apt,1400,6,22,2022-12-01,0.24,1,350,1,Week 1
Luxury Duplex Penthouse Sukhumvit Road,Laaong,Vadhana,13.74561,100.56849,Entire home/apt,10500,2,20,2019-08-24,0.3,6,354,0,Week 1
Spacious Studio with Amazin View,Miw,Bang Rak,13.721275,100.516922,Entire home/apt,1600,30,48,2020-03-16,0.53,1,326,0,Week 4
Sena Garden Apartment for Rent,Pinmook,Din Daeng,13.78297,100.56713,Private room,3000,1,0,,0.0,1,363,0,Week 1
"Sukhumvit road, Chill and relax",Faii,Phra Khanong,13.68418,100.60371,Private room,793,2,1,2017-12-25,0.02,1,355,0,Week 1
Small clean bedroom in Bangkok!,Pinyada,Chatu Chak,13.83002,100.56596,Private room,800,2,0,,0.0,1,363,0,Week 1
2 Modern BR city view/ Free WIFI,Jenny,Yan na wa,13.69706,100.54596,Entire home/apt,3000,1,0,,0.0,2,302,0,Week 1
"Baan Ongkharak b&b - cosy double room, w. bthrm.",Supanda,Dusit,13.7875,100.51785,Private room,1400,1,8,2019-02-13,0.09,4,165,0,Week 1
Single Detached House for Rent,Piyachon,Nong Khaem,13.70574,100.35337,Entire home/apt,4000,1,0,,0.0,1,365,0,Week 1
Lumpini Ville Raminthra - Laksi,Chakkraphong,Bang Khen,13.87437,100.60132,Private room,685,3,0,,0.0,1,123,0,Week 1
fully furnished 1 Bed 1 Living Room,Yair,Suanluang,13.72167,100.61672,Entire home/apt,1599,28,2,2022-11-05,0.03,4,365,1,Week 4
Bangkok horizon Ram 60 Hua Mak,Ratchata,Bang Kapi,13.76398,100.6492,Private room,1500,2,3,2017-05-17,0.03,1,363,0,Week 1
HIP 2 BR CONDO 3 MINS FROM BTS,Robert,Khlong Toei,13.71011,100.59802,Entire home/apt,5400,1,34,2018-07-17,0.36,1,365,0,Week 1
The cozy room near BTS in Bangkok,Budsabong,Phra Khanong,13.6924,100.60474,Private room,1619,1,2,2016-01-08,0.02,1,353,0,Week 1
FloralShire Suvarnabhumi Airport,Wasin,Lat Krabang,13.71691,100.76588,Private room,560,1,38,2022-12-18,6.16,1,353,38,Week 1
☑Generous space Green and Quiet Heart of Bangkok,Evan From Sanctuary House,Sathon,13.72075,100.54692,Entire home/apt,1200,1,246,2022-12-14,2.62,8,350,11,Week 1
Room for Rent near BTS,Ladda,Bang Rak,13.72591,100.53244,Private room,1400,30,6,2016-06-05,0.06,1,364,0,Week 4
"Sabye Bangkok - Family Room with Bunk Bed, NO ABF",Sabye Bangkok,Phra Nakhon,13.76205,100.50093,Private room,1700,1,4,2018-09-18,0.04,7,361,0,Week 1
"★ Great Studio, Easy Walk To Pier & BTS Taksin ★",Bee,Sathon,13.71414,100.515,Entire home/apt,866,2,202,2022-12-17,2.2,7,318,12,Week 1
Garden Room Thai2 Suvarnabhumi,Suttinee,Lat Krabang,13.72218,100.72518,Entire home/apt,867,1,206,2022-12-02,2.6,4,324,14,Week 1
Luxury  Apartment type 01,Nantiruj,Khlong Toei,13.73695,100.5547,Entire home/apt,1690,30,2,2017-04-30,0.03,5,330,0,Week 4
Great view near BTS in BKK,Poonii,Thon buri,13.71092,100.46957,Private room,1129,3,0,,0.0,1,365,0,Week 1
Family 5 beds room,Golden Mountain Hostel,Pom Prap Sattru Phai,13.75148,100.50642,Private room,2900,1,10,2019-07-09,0.11,9,330,0,Week 1
Family 3 beds room,Golden Mountain Hostel,Phra Nakhon,13.75187,100.50425,Private room,1800,1,9,2020-01-23,0.1,9,330,0,Week 1
Family 8 beds room,Golden Mountain Hostel,Pom Prap Sattru Phai,13.75305,100.50612,Private room,3200,1,8,2019-12-29,0.1,9,330,0,Week 1
"Safari Room, Family Room for 5 person 中文服務 華語溝通",Around The World B&B,Suanluang,13.736,100.63123,Private room,10000,1,14,2019-08-31,0.15,10,365,0,Week 1
Cozy&new furnished 1 BR@MRT Ladprao,Chonlakorn,Huai Khwang,13.80002,100.57658,Entire home/apt,1316,2,3,2018-01-20,0.03,1,363,0,Week 1
Rueanthai Raminthra - Wedding Villa,Gregory,Bueng Kum,13.84308,100.64655,Private room,29999,1,0,,0.0,1,363,0,Week 1
BITEC Large Corner 2BR 3min to BTS,Keerati & Lynn,Bang Na,13.66883,100.60461,Entire home/apt,1558,28,29,2017-06-17,0.36,1,0,0,Week 4
1BR in BKK: cheap and stuck to BTS,Chayada,Bang Na,13.67764,100.60932,Private room,990,3,2,2017-07-01,0.02,1,350,0,Week 1
"LARGE 1BR CORNER UNIT next to BTS, mins to All",Pantakarn,Khlong San,13.72141,100.50353,Entire home/apt,450,5,48,2021-09-14,0.57,2,88,0,Week 1
"1 min to BTS sky train, nice location condominuim",Nawin,Bang Na,13.68029,100.608,Private room,1385,30,2,2016-10-29,0.02,1,365,0,Week 4
"2BR BTS,MRT  270°views 70m² @ASOK",Faizal,Vadhana,13.74636,100.56241,Entire home/apt,1662,20,166,2022-01-25,1.93,2,0,1,Week 3
Supalai park ekkamai Thonglor BTS MRT Airport link,Sansanee,Huai Khwang,13.74384,100.58845,Private room,990,30,0,,0.0,1,365,0,Week 4
Baan Boon Homestay Near BTS (1st fl),Sani,Thon buri,13.71852,100.48453,Private room,976,2,29,2022-12-18,0.72,2,222,11,Week 1
"""1 Bed Serviced SkyVillas with view""",Salvatore,Sathon,13.72098,100.52866,Entire home/apt,3757,2,36,2022-10-20,0.45,7,109,5,Week 1
Cozy apt in Siam district B2-Deluxe Twin BR,Jira,Parthum Wan,13.75037,100.52068,Private room,1350,1,54,2020-02-12,0.58,2,363,0,Week 1
(2nd)F/F 36m2 Studio APT For Rent. ARI BTS,Taweewat  (Ken),Phaya Thai,13.78013,100.54559,Private room,1212,1,2,2018-10-28,0.02,2,365,0,Week 1
PRIVATE ROOM NEAR UNDERGROUND TRAIN,Wanisa,Din Daeng,13.77604,100.56028,Private room,1200,1,0,,0.0,2,365,0,Week 1
DOWNTOWN BANGKOK WALK 2 EMQUARTIER MALL/SUPER WIFI,Dr. Supot,Vadhana,13.73909,100.57251,Entire home/apt,2459,2,121,2022-12-17,1.32,15,134,15,Week 1
SABAIDEE MINITEL,Sabaidee,Dusit,13.75648,100.51681,Private room,2000,1,0,,0.0,1,365,0,Week 1
"Condo P48, phetkasem road",Amornrat,Phasi Charoen,13.71613,100.42835,Private room,1143,1,2,2017-02-28,0.02,1,365,0,Week 1
Sukhumvit  @bts On-nut Bangkok,Hiranpruek,Khlong Toei,13.70509,100.59998,Entire home/apt,4000,1,0,,0.0,1,364,0,Week 1
Teakwood red @ Steamy Location,Evan,Sathon,13.72062,100.54707,Entire home/apt,1086,1,253,2022-12-15,2.95,37,341,2,Week 1
COOL STUDIO at HUAIKWANG NEAR MRT,Wanisa,Din Daeng,13.77772,100.55949,Private room,1200,1,0,,0.0,2,365,0,Week 1
☙☙☙Unbeatable Comfort with MRT and Skyline Views❧❧,Evan,Sathon,13.72065,100.54712,Entire home/apt,686,1,99,2022-11-29,1.1,37,352,10,Week 1
Nature Vibes Studio 10 mins to Don Mueang Airport,Wuthiphon,Lak Si,13.87081,100.57824,Private room,750,1,163,2022-08-28,2.49,9,364,4,Week 1
"Kisaoo, vintage room near Khaosan 1",Niramon,Phra Nakhon,13.76378,100.50147,Private room,1143,2,132,2019-07-23,1.47,2,365,0,Week 1
MERIT HOME,Sumrit,Huai Khwang,13.79033,100.58336,Private room,550,1,0,,0.0,1,365,0,Week 1
"Modern, quiet apartment near BTS",Vilai,Pra Wet,13.72376,100.70413,Entire home/apt,1500,3,0,,0.0,1,365,0,Week 1
Double bed room near On-Nut BTS,Navavit,Phra Khanong,13.69975,100.5979,Entire home/apt,1094,1,2,2015-09-18,0.02,6,365,0,Week 1
Cozy 1 BR Apt in center near Lumphini Metro/PARK,Bee,Sathon,13.71957,100.54858,Entire home/apt,1500,28,28,2022-12-10,0.31,29,328,1,Week 4
Twin bed located on Sukhumvit Rd.,Navavit,Phra Khanong,13.69825,100.60015,Entire home/apt,1050,1,10,2019-01-02,0.11,6,365,0,Week 1
(2nd) F/F 36m2 Studio APT For Rent.,Ken,Phaya Thai,13.77889,100.54592,Private room,1212,1,18,2019-04-14,0.21,2,365,0,Week 1
Superior Single room,Sabye Bangkok,Phra Nakhon,13.76237,100.50289,Private room,801,1,13,2018-02-25,0.14,7,364,0,Week 1
30 Sqm room. 75% monthly discount,Anthony,Bang Kapi,13.76164,100.64059,Entire home/apt,2000,30,5,2022-11-29,0.07,2,344,1,Week 4
The Grand by Snitwongs,Singha,Phaya Thai,13.76609,100.54792,Private room,1200,3,0,,0.0,1,338,0,Week 1
❂Citycenter☀Subway station☀Private Bathroom9Aircon,Evan,Sathon,13.72071,100.54712,Entire home/apt,1200,1,218,2022-12-14,2.55,37,345,2,Week 1
❂Explore Bangkok Perfect Central Spot MRT Lumpini7,Evan,Sathon,13.72067,100.54714,Entire home/apt,1343,1,325,2022-11-27,3.63,37,354,1,Week 1
Super Classy @ Thonglor 4,Surachai,Vadhana,13.73487,100.58278,Entire home/apt,3000,30,1,2017-04-12,0.01,1,90,0,Week 4
Greenview Ekkamai10 (One Bedroom Deluxe Suite),Greenview,Vadhana,13.71968,100.58628,Private room,1200,1,3,2015-11-16,0.03,4,90,0,Week 1
3 minutes walk to river and resort,Kate,Khlong San,13.70741,100.49924,Private room,2078,15,0,,0.0,5,365,0,Week 3
Penthouse Apartment Near MRT Subway,Laong & Larry,Huai Khwang,13.76774,100.58609,Entire home/apt,972,1,1,2017-12-03,0.02,1,84,0,Week 1
Nang Ta Yon @ Ban Thap Chang Hostel,Ja,Pra Wet,13.73249,100.69164,Shared room,450,1,29,2022-11-29,0.34,3,360,3,Week 1
Baan Bunrapa,Ken,Phaya Thai,13.77842,100.54575,Private room,1039,1,13,2022-12-18,0.17,2,364,1,Week 1
Upmarket Loft Apartment in the Lively Heart of Bangkok,Diow,Khlong Toei,13.73502,100.56252,Entire home/apt,4056,1,323,2022-12-18,3.75,5,142,42,Week 1
Greenview Ekkamai10 (One Bedroom Deluxe Suite),Greenview,Khlong Toei,13.71955,100.58532,Private room,1200,1,1,2015-07-21,0.01,4,90,0,Week 1
Greenview Ekkamai10 (Junior Suite),Greenview,Suanluang,13.73524,100.60464,Private room,1400,1,1,2015-12-07,0.01,4,90,0,Week 1
Stunning View Luxury/Infinity pool/AirportPickup/,Nate,Vadhana,13.74506,100.56394,Entire home/apt,2600,3,121,2022-10-14,1.32,1,174,4,Week 1
Supalai premier place asok,Aor,Vadhana,13.74658,100.56379,Private room,2357,1,0,,0.0,1,365,0,Week 1
"New Condo , Ideo Mobi, Bangkok",Kriengwut,Phra Khanong,13.70526,100.60318,Entire home/apt,2000,2,46,2020-01-27,0.5,1,271,0,Week 1
Fully Furnished Condo for rent,Be,Vadhana,13.73567,100.58485,Private room,2000,6,0,,0.0,1,364,0,Week 1
Ratchayothin Villa,Weerakorn,Chatu Chak,13.83019,100.56631,Entire home/apt,1450,28,45,2020-10-24,0.52,6,196,0,Week 4
[LF_4] PRIVATE ELITE 3BEDS @ ARI BTS,Nutt,Phaya Thai,13.77846,100.54148,Private room,2300,1,78,2019-09-01,0.86,5,360,0,Week 1
Designer's 1 Br next to MRT Lad-Prao station,Kananun,Chatu Chak,13.80694,100.57261,Entire home/apt,1039,7,60,2022-12-17,0.64,1,357,3,Week 1
Bunk bed in Mixed Dormitory,Golden Mountain Hostel,Phra Nakhon,13.75306,100.50424,Shared room,400,1,103,2020-02-08,1.13,9,330,0,Week 1
"Cozy 1BR, 5min walk to Ari BTS",Jira,Phaya Thai,13.77577,100.54258,Entire home/apt,1387,3,66,2022-09-03,0.7,2,90,4,Week 1
1BR near BKK Airport/Skytrain+Wifi (1),Fai,Suanluang,13.73721,100.64146,Entire home/apt,866,30,96,2020-03-16,1.05,5,365,0,Week 4
[LF_3] PRIVATE GRAND 2BEDS @ ARI BTS,Nutt,Phaya Thai,13.77846,100.54148,Private room,1500,1,103,2022-12-06,1.13,5,359,1,Week 1
[LF_2] PRIVATE CHIC 2BEDS @ ARI BTS,Nutt,Phaya Thai,13.77846,100.54148,Private room,900,1,110,2020-03-10,1.22,5,350,0,Week 1
[LF_1] PRIVATE VINTAGE 1BED @ ARI BTS,Nutt,Phaya Thai,13.77846,100.54148,Private room,800,1,98,2022-05-23,1.08,5,361,1,Week 1
1 min BTS / Cola House / Cozy /WIFI,Nate,Phra Khanong,13.69762,100.60626,Entire home/apt,800,3,72,2022-12-18,0.8,2,321,2,Week 1
Bunk bed in Female Dormitory,Golden Mountain Hostel,Pom Prap Sattru Phai,13.75341,100.50651,Shared room,550,1,43,2019-11-25,0.46,9,330,0,Week 1
Suneta Hostel Khaosan - 4 beds Lady Dormitory,Suneta Hostel Khaosan,Phra Nakhon,13.76153,100.49747,Shared room,556,1,6,2019-05-18,0.07,6,361,0,Week 1
"safety, comfortable, friendly",Myhome922,Pra Wet,13.68179,100.64062,Private room,1500,1,0,,0.0,1,89,0,Week 1
"Kisaoo, vintage room near Khaosan 2",Niramon,Phra Nakhon,13.76355,100.50329,Private room,1004,2,175,2019-08-30,1.92,2,365,0,Week 1
6 million house with 195 SQM,Pisal,Pra Wet,13.71839,100.70119,Entire home/apt,3500,30,0,,0.0,1,365,0,Week 4
J.W. BOULEVARD Srivara 090-563-2104,Ornchada,Wang Thong Lang,13.78229,100.60584,Private room,2000,1,0,,0.0,1,365,0,Week 1
"Baan Nornlen Residence,  2 Bedroom No. 401",Sutasinee,Sathon,13.71797,100.53023,Entire home/apt,2800,2,34,2022-11-27,0.68,9,140,6,Week 1
Comfort Suite 36.5sqm+55”smartTV+Netflix+BTS+Mall5,Kinifrog,Thon buri,13.71276,100.47939,Entire home/apt,855,26,56,2022-12-10,0.6,19,321,3,Week 4
"1BR near airport link Haumark, next to Maxvalue",Punparun,Suanluang,13.73672,100.64091,Entire home/apt,609,3,4,2022-10-05,0.1,1,196,3,Week 1
twin bed near BTS skytrain,Navavit,Phra Khanong,13.69972,100.59983,Entire home/apt,1080,1,3,2015-08-02,0.03,6,365,0,Week 1
Double bed room near On-Nut BTS,Navavit,Phra Khanong,13.70051,100.59952,Entire home/apt,1080,1,3,2017-01-13,0.03,6,365,0,Week 1
NAIFUN BB HOTEL,Orn,Bang Na,13.65902,100.61911,Private room,1200,1,1,2017-04-17,0.01,2,365,0,Week 1
Stay with the nature in Bangkok,Orn,Bang Na,13.65883,100.61739,Private room,1500,1,0,,0.0,2,365,0,Week 1
Private room in a townhouse on Sukumvit Road,Gig,Khlong Toei,13.71498,100.59061,Private room,850,5,9,2020-03-31,0.16,1,101,0,Week 1
Supalai Place Bangkok Apartment,Luchcha,Vadhana,13.71745,100.59082,Entire home/apt,3000,10,0,,0.0,1,365,0,Week 2
Shanti Lodge: Art House in Old Town Bangkok- Cozy,Kim,Phra Nakhon,13.77108,100.50085,Private room,1000,1,3,2019-10-30,0.03,44,342,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77317,100.50195,Shared room,600,1,6,2017-07-23,0.07,44,364,0,Week 1
Sribumpen plus,Koy,Sathon,13.72001,100.54619,Private room,900,1,5,2019-01-02,0.06,1,359,0,Week 1
"HappyZleepy28_2mins to Nana BTS,WiFi speed 500 MBs",Ed,Vadhana,13.74287,100.55515,Entire home/apt,1369,1,223,2022-12-07,3.19,33,283,40,Week 1
Cozy room  29 flr. Near Main Road,Ferinn,Suanluang,13.74507,100.60348,Private room,1200,2,1,2015-09-22,0.01,3,365,0,Week 1
"Luxury Private,Family suit,River vi",Pim,Bang Phlat,13.78011,100.49148,Entire home/apt,3000,3,2,2019-01-01,0.03,1,88,0,Week 1
Condominium 1 Bed Room for rent,Keerati,Vadhana,13.73833,100.58427,Entire home/apt,999,30,0,,0.0,1,358,0,Week 4
Cozy Living in Bangkok 60m to MRT near Chatuchak,Thananrat,Bang Sue,13.80606,100.52781,Entire home/apt,790,28,127,2022-11-06,1.41,1,280,5,Week 4
1BDR Cozy condo in Bangkok,Nida,Yan na wa,13.70489,100.53752,Entire home/apt,2424,2,0,,0.0,1,365,0,Week 1
"2BR next2 Siam Paragon,Platinum,BTS",Su,Ratchathewi,13.75367,100.533,Entire home/apt,8000,30,37,2016-05-02,0.41,1,365,0,Week 4
Peaceful and modern 1 bedroom condo,Duangduean,Suanluang,13.71024,100.63619,Entire home/apt,1981,1,0,,0.0,1,365,0,Week 1
"Studio high fl, Best location. Good city view",Paul,Bang Kapi,13.74883,100.60666,Entire home/apt,810,2,21,2022-12-06,0.42,6,354,8,Week 1
"Resident area, near BDMS hospital Jodd Fairs Mkt",Pong,Huai Khwang,13.75108,100.58971,Private room,615,28,85,2022-11-22,0.95,3,346,3,Week 4
"Spacious,Chic&Cozyroom,BTS Ploenchit,Rooftop pool",Koy,Parthum Wan,13.73857,100.55056,Entire home/apt,2340,3,100,2022-04-16,1.09,1,346,1,Week 1
Perfect Luxury 1 bed City Heart BKK,Bokie,Yan na wa,13.7178,100.55056,Entire home/apt,2200,2,7,2019-11-06,0.08,3,0,0,Week 1
Bangkok cozy studio BTS free Wi-Fi washer gym pool,Preeti,Phra Khanong,13.69869,100.60554,Entire home/apt,585,30,98,2022-11-22,1.08,3,132,8,Week 4
Bangkok's Ultimate Glass Tree House,Premika,Vadhana,13.74011,100.57229,Entire home/apt,10340,2,66,2022-11-06,0.73,5,324,14,Week 1
"Amazing Views! 1 BR,next to BTS Ekkamai~Wi-fi",Amy,Vadhana,13.72932,100.57731,Entire home/apt,1211,1,196,2022-12-08,2.13,3,148,21,Week 1
Modern and Fully Furnished Studio,Sudathip,Bang Kapi,13.75207,100.60949,Private room,650,30,0,,0.0,2,363,0,Week 4
"studio, 900 m to BTS Phrom Phong BTS",Nalinee,Vadhana,13.73761,100.5746,Entire home/apt,1200,30,7,2022-11-28,0.08,1,0,5,Week 4
Modern comfortable 1B. GREAT VIEW!,Siri,Ratchathewi,13.75499,100.54328,Entire home/apt,1400,21,28,2022-10-29,0.3,3,325,3,Week 3
The Mustang Nero/No.4 The Horse,Themustang,Khlong Toei,13.71143,100.5939,Hotel room,2329,1,486,2022-12-06,5.26,10,47,6,Week 1
"Cozy apartment, heart of Bangkok!",Wipawe,Khlong Toei,13.72774,100.5703,Entire home/apt,1197,28,43,2022-08-25,0.47,2,325,4,Week 4
New apartment unit in nice compound,Panadda,Bang Sue,13.80128,100.5202,Private room,905,2,0,,0.0,2,365,0,Week 1
"Sabye Bangkok with Triple Room, NO Breakfast",Sabye Bangkok,Phra Nakhon,13.76364,100.50086,Private room,1329,1,6,2022-12-16,0.07,7,360,2,Week 1
"In the heart of Silom, Bangkok",Janice,Bang Rak,13.72532,100.53212,Entire home/apt,2800,3,74,2020-02-04,0.81,1,0,0,Week 1
"Stylish room, 5 mins to BTS Udomsuk",Cindy,Bang Na,13.67929,100.61273,Entire home/apt,480,14,53,2022-05-09,0.57,18,78,1,Week 2
1BR/ Spectacular River View/ Wifi,Yodsakarn,Rat Burana,13.67618,100.52033,Entire home/apt,700,7,83,2022-12-03,0.9,1,339,6,Week 1
Chic 2 BR Apt heart of Sukhumvit 39,Taak & Vora,Vadhana,13.73852,100.57346,Entire home/apt,2300,1,147,2022-12-23,1.62,2,67,22,Week 1
Newly Furnished Room next to Bts,Nichanan,Khlong San,13.72112,100.50232,Entire home/apt,3069,1,0,,0.0,2,365,0,Week 1
One BR. 50sqm (Sukhumvit 4),Mind,Khlong Toei,13.73486,100.55336,Entire home/apt,1886,2,44,2022-11-20,0.51,5,330,6,Week 1
Luxury fully furnished 2 bedrooms condo,Martin-Louis,Phasi Charoen,13.71126,100.44942,Entire home/apt,670,30,2,2021-06-30,0.03,2,283,0,Week 4
"5 Star Host, 2B2B, Free pick up, BTS, Icon Siam #2",Witty,Khlong San,13.71972,100.49641,Private room,1986,1,137,2022-12-11,1.51,2,163,2,Week 1
#401: Private Balcony Room on 4th fl (with cats!),Mooncome Homestay,Phaya Thai,13.77474,100.54434,Private room,2166,1,169,2022-12-24,1.87,5,153,30,Week 1
Hip luxury cosy sukhumvit 1bed sukhumvit,Rin,Khlong Toei,13.72123,100.57955,Entire home/apt,1450,4,9,2017-01-30,0.1,1,118,0,Week 1
"Cozy room,quiet,Full furnished,8mins walkMRTLaprow",Noya,Chatu Chak,13.80474,100.57729,Private room,850,1,30,2020-01-13,0.36,1,177,0,Week 1
Nicely Designed Room Near JJ Market,Khajornsak,Chatu Chak,13.82001,100.54865,Private room,1420,1,5,2017-12-16,0.06,2,363,0,Week 1
Sukhumvit Apartment near BTS Onnut,Navavit,Phra Khanong,13.69803,100.59604,Entire home/apt,1080,1,1,2018-01-01,0.02,6,365,0,Week 1
Shanti Lodge. Penthouse Bungalow with Garden,Kim,Phra Nakhon,13.77155,100.50158,Private room,2236,1,5,2018-01-08,0.07,44,335,0,Week 1
Large for 4-6 near MRT Ladprao|Free WiFi & Parking,Tasha,Chatu Chak,13.82794,100.58323,Entire home/apt,1600,1,56,2020-01-28,0.62,1,365,0,Week 1
Single Bed Room,Bangkok Check Inn,Bang Rak,13.7214,100.51476,Private room,990,1,3,2017-06-26,0.03,6,330,0,Week 1
High Unit! TOP Location! Sub Penthouse 41. Floor!,Dan,Ratchathewi,13.75086,100.5555,Entire home/apt,3490,7,81,2020-03-05,0.91,4,180,0,Week 1
Cozy Room 5 min from Sathorn by car,Mimi,Sathon,13.71674,100.53322,Private room,1550,1,8,2022-12-11,0.09,4,358,2,Week 1
Triple Room,Bangkok Check Inn,Bang Rak,13.71914,100.51479,Private room,1380,1,0,,0.0,6,319,0,Week 1
Abstract Paholyothin 24 Garden view,Prao,Chatu Chak,13.80575,100.57163,Entire home/apt,720,30,14,2022-12-16,0.16,4,297,2,Week 4
Shanti Lodge.  Art House. Traditional Room,Kim,Dusit,13.77281,100.50125,Private room,1530,1,13,2019-03-09,0.15,44,330,0,Week 1
Single Bed Capsule @The Cube Hostel,Chalayut,Bang Rak,13.72745,100.5354,Shared room,400,1,25,2022-12-13,0.28,1,353,1,Week 1
Deluxe Double Room in BKK Old Town,Effie,Phra Nakhon,13.74753,100.49741,Hotel room,850,2,114,2022-12-21,1.27,7,198,22,Week 1
Standard Family's Boutique Room near Grand Palace,Effie,Phra Nakhon,13.74745,100.49742,Private room,1350,1,16,2022-10-20,0.19,7,316,2,Week 1
The Village Codominium,Emy,Bang Na,13.66888,100.61682,Entire home/apt,1500,1,0,,0.0,2,334,0,Week 1
D Condo Rachapruek charan13,Meow,Phasi Charoen,13.73808,100.4487,Entire home/apt,1732,1,0,,0.0,1,365,0,Week 1
Belle Condo (Rama 9) 3 bedroom (2),Joyce,Huai Khwang,13.75934,100.56688,Entire home/apt,6906,3,1,2020-01-03,0.03,5,1,0,Week 1
IDEO BLUCOVE Sathorn Condominium,Mannie,Khlong San,13.72331,100.4946,Private room,1385,1,1,2019-01-01,0.02,1,365,0,Week 1
"2BR, BTS Promphong, Sukhumvit 24",May,Khlong Toei,13.72851,100.56875,Entire home/apt,5017,2,49,2022-12-08,0.54,1,358,12,Week 1
Greenview Suite (One Bedroom),Greenview,Vadhana,13.72763,100.59013,Private room,800,30,0,,0.0,4,90,0,Week 4
1 Bedroom:Ceil By Sansiri(Ekamai12),Knoon,Vadhana,13.732,100.58788,Private room,2628,2,0,,0.0,1,365,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77095,100.50444,Shared room,600,1,1,2017-08-08,0.02,44,364,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77293,100.50431,Shared room,600,1,0,,0.0,44,336,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77102,100.50282,Shared room,600,1,0,,0.0,44,359,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77159,100.50219,Shared room,600,1,1,2016-12-23,0.01,44,363,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77232,100.50208,Shared room,600,1,0,,0.0,44,364,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77152,100.50412,Shared room,600,1,0,,0.0,44,363,0,Week 1
Shanti Lodge: Art House AC Dorm,Kim,Dusit,13.77126,100.50225,Shared room,600,1,0,,0.0,44,363,0,Week 1
Shanti Lodge: Family Sleeps 4 in Old Town Bangkok,Kim,Dusit,13.7731,100.50343,Private room,1883,1,23,2019-10-20,0.27,44,319,0,Week 1
